Scrip Code,Scrip Id,Scrip Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500425,ACL,AMBUJA CEMENTS LTD.,Active,A ,2.00,INE079A01024,Cement &amp; Cement Products,Equity
500440,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.00,INE038A01020,Aluminium,Equity
500469,FEDBANK,FEDERAL BANK LTD.,Active,A ,10.00,INE171A01011,Banks,Equity
500470,TATASTL,TATA STEEL LTD.,Active,A ,10.00,INE081A01012,Iron &amp; Steel/Interm.Products,Equity
500477,ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.00,INE208A01029,Commercial Vehicles,Equity
500480,CUMMINS,CUMMINS INDIA LTD.,Active,A ,2.00,INE298A01020,Industrial Machinery,Equity
500483,TATACOMM,TATA COMMUNICATIONS LTD.,Active,A ,10.00,INE151A01013,Telecom - Alternate Carriers,Equity
500490,BAJAJHOIN,BAJAJ HOLDINGS &amp; INVESTMENT LTD.,Active,A ,10.00,INE118A01012,Finance (including NBFCs),Equity
500493,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.00,INE465A01025,Other Industrial Products,Equity
500510,LNT,LARSEN &amp; TOUBRO LTD.,Active,A ,2.00,INE018A01030,Construction &amp; Engineering,Equity
500520,MNM,MAHINDRA &amp; MAHINDRA LTD.,Active,A ,5.00,INE101A01026,Cars &amp; Utility Vehicles,Equity
500530,BOSCHL,BOSCH LTD.,Active,A ,10.00,INE323A01026,Auto Parts &amp; Equipment,Equity
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE029A01011,Refineries/ Petro-Products,Equity
500550,SIEMENS,SIEMENS LTD.,Active,A ,2.00,INE003A01024,Heavy Electrical Equipment,Equity
500570,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2.00,INE155A01022,Commercial Vehicles,Equity
500660,GLAXOPHARMA,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.00,INE159A01016,Pharmaceuticals,Equity
500676,GLAXOCON,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,Active,A ,10.00,INE264A01014,Packaged Foods,Equity
500696,HUL,HINDUSTAN UNILEVER LTD.,Active,A ,1.00,INE030A01027,Personal Products,Equity
500770,TATACHEM,TATA CHEMICALS LTD.,Active,A ,10.00,INE092A01019,Commodity Chemicals,Equity
500790,NESTLE,NESTLE INDIA LTD.,Active,A ,10.00,INE239A01016,Packaged Foods,Equity
500800,TATAGLOBAL,Tata Global Beverages Limited,Active,A ,1.00,INE192A01025,Tea &amp; Coffee,Equity
500820,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,10.00,INE021A01018,Furniture-Furnishing-Paints,Equity
500825,BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,A ,2.00,INE216A01022,Packaged Foods,Equity
500830,COLGATE,COLGATE-PALMOLIVE (INDIA) LTD.,Active,A ,1.00,INE259A01022,Personal Products,Equity
500850,INDHOTELS,INDIAN HOTELS CO.LTD.,Active,A ,1.00,INE053A01029,Hotels,Equity
500870,CASTROL,CASTROL INDIA LTD.,Active,A ,10.00,INE172A01019,Oil Marketing &amp; Distribution,Equity
500875,ITC,ITC LTD.,Active,A ,1.00,INE154A01025,Cigarettes-Tobacco Products,Equity
500877,APOLLOTYRE,APOLLO TYRES LTD.,Active,A ,1.00,INE438A01022,Auto Tyres &amp; Rubber Products,Equity
500900,STERLITEIND,STERLITE INDUSTRIES (INDIA) LTD.,Active,A ,1.00,INE268A01049,Copper,Equity
505200,EICHERMOT,EICHER MOTORS LTD.,Active,A ,10.00,INE066A01013,2/3 Wheelers,Equity
505537,ZEEENTER,ZEE ENTERTAINMENT ENTERPRISES LTD.,Active,A ,1.00,INE256A01028,Broadcasting &amp; Cable TV,Equity
506395,COROMINTE,COROMANDEL INTERNATIONAL LTD.,Active,A ,1.00,INE169A01031,Fertilizers,Equity
507685,WIPRO,WIPRO LTD.,Active,A ,2.00,INE075A01022,IT Consulting &amp; Software,Equity
507878,UNITECH,UNITECH LTD.,Active,A ,2.00,INE694A01020,Realty,Equity
508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,Active,A ,5.00,INE437A01024,Healthcare Facilities,Equity
509480,BERGEPAINT,BERGER PAINTS INDIA LTD.,Active,A ,2.00,INE463A01020,Furniture-Furnishing-Paints,Equity
511218,STFC,SHRIRAM TRANSPORT FINANCE CO.LTD.,Active,A ,10.00,INE721A01013,Finance (including NBFCs),Equity
511389,VIDEOCON,VIDEOCON INDUSTRIES LTD.,Active,A ,10.00,INE703A01011,Consumer Electronics,Equity
512070,UNITEDPHOS,UNITED PHOSPHORUS LTD.,Active,A ,2.00,INE628A01036,Agrochemicals,Equity
512599,ADANIENTE,ADANI ENTERPRISES LTD.,Active,A ,1.00,INE423A01024,Comm.Trading  &amp; Distribution,Equity
513377,MMTC,MMTC LTD.,Active,A ,1.00,INE123F01029,Comm.Trading  &amp; Distribution,Equity
513599,HINDCOPER,HINDUSTAN COPPER LTD.,Active,A ,5.00,INE531E01026,Copper,Equity
513683,NEYVELILIG,NEYVELI LIGNITE CORPORATION LTD.,Active,A ,10.00,INE589A01014,Electric Utilities,Equity
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,Active,A ,1.00,INE775A01035,Auto Parts &amp; Equipment,Equity
517354,HAVELLS,HAVELLS INDIA LTD.,Active,A ,5.00,INE176B01026,Other Elect.Equip./ Prod.,Equity
517506,TTKPRES,TTK PRESTIGE LTD.,Active,A ,10.00,INE690A01010,Houseware,Equity
523574,FRL,FUTURE RETAIL LTD.,Active,A ,2.00,INE623B01027,Department Stores,Equity
524494,IPCALAB,IPCA LABORATORIES LTD.,Active,A ,2.00,INE571A01020,Pharmaceuticals,Equity
524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,Active,A ,1.00,INE044A01036,Pharmaceuticals,Equity
524804,AUROBINDOP,AUROBINDO PHARMA LTD.,Active,A ,1.00,INE406A01037,Pharmaceuticals,Equity
526299,MPHASIS,MPHASIS LTD.,Active,A ,10.00,INE356A01018,IT Consulting &amp; Software,Equity
526371,NMDCLTD,NMDC LTD.,Active,A ,1.00,INE584A01023,Mining,Equity
526881,FINTECH,FINANCIAL TECHNOLOGIES (INDIA) LTD.,Active,A ,2.00,INE111B01023,IT Consulting &amp; Software,Equity
530965,IOC,INDIAN OIL CORPORATION LTD.,Active,A ,10.00,INE242A01010,Oil Marketing &amp; Distribution,Equity
531162,EMAMI,EMAMI LTD.-$,Active,A ,1.00,INE548C01032,Personal Products,Equity
531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,Active,A ,10.00,INE111A01017,Transport Related Services,Equity
531642,MARICO,MARICO LTD.,Active,A ,1.00,INE196A01026,Personal Products,Equity
531807,INGVYSYA,ING VYSYA BANK LTD.,Active,A ,10.00,INE166A01011,Banks,Equity
532121,DENABANK,DENA BANK,Active,A ,10.00,INE077A01010,Banks,Equity
532134,BOB,BANK OF BARODA,Active,A ,10.00,INE028A01013,Banks,Equity
532149,BOI,BANK OF INDIA,Active,A ,10.00,INE084A01016,Banks,Equity
532155,GAIL,GAIL (INDIA) LTD.,Active,A ,10.00,INE129A01019,Utilities:Non-Elec.,Equity
532174,ICICIBANK,ICICI BANK LTD.,Active,A ,10.00,INE090A01013,Banks,Equity
532178,EIL,ENGINEERS INDIA LTD.,Active,A ,5.00,INE510A01028,Consulting Services,Equity
532179,CORPBANK,CORPORATION BANK,Active,A ,10.00,INE112A01015,Banks,Equity
532181,GMDC,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,Active,A ,2.00,INE131A01031,Coal,Equity
532187,INDUSINDBK,INDUSIND BANK LTD.,Active,A ,10.00,INE095A01012,Banks,Equity
532209,JKBANK,JAMMU &amp; KASHMIR BANK LTD.,Active,A ,10.00,INE168A01017,Banks,Equity
532215,AXISBANK,AXIS BANK LTD.,Active,A ,10.00,INE238A01026,Banks,Equity
532218,SOUTHINDBA,SOUTH INDIAN BANK LTD.,Active,A ,1.00,INE683A01023,Banks,Equity
532234,NALCO,NATIONAL ALUMINIUM CO.LTD.,Active,A ,5.00,INE139A01034,Aluminium,Equity
532276,SYNDIBANK,SYNDICATE BANK,Active,A ,10.00,INE667A01018,Banks,Equity
532281,HCLTECH,HCL TECHNOLOGIES LTD.,Active,A ,2.00,INE860A01027,IT Consulting &amp; Software,Equity
532286,JINDALSTEEL,JINDAL STEEL &amp; POWER LTD.,Active,A ,1.00,INE749A01030,Iron &amp; Steel/Interm.Products,Equity
532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,Active,A ,1.00,INE935A01035,Pharmaceuticals,Equity
532300,WOCKHARDT,WOCKHARDT LTD.,Active,A ,5.00,INE049B01025,Pharmaceuticals,Equity
532321,CADILAHC,CADILA HEALTHCARE LTD.,Active,A ,5.00,INE010B01019,Pharmaceuticals,Equity
532388,IOB,INDIAN OVERSEAS BANK,Active,A ,10.00,INE565A01014,Banks,Equity
532418,ANDHRABANK,ANDHRA BANK,Active,A ,10.00,INE434A01013,Banks,Equity
532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,Active,A ,1.00,INE102D01028,Personal Products,Equity
532432,UNITDSPR,UNITED SPIRITS LTD.,Active,A ,10.00,INE854D01016,Breweries &amp; Distilleries,Equity
532454,BHARTIARTL,BHARTI AIRTEL LTD.,Active,A ,5.00,INE397D01024,Telecom Services,Equity
532461,PNB,PUNJAB NATIONAL BANK,Active,A ,10.00,INE160A01014,Banks,Equity
532466,ORACLEFIN,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Active,A ,5.00,INE881D01027,IT Consulting &amp; Software,Equity
532477,UNIONBANK,UNION BANK OF INDIA,Active,A ,10.00,INE692A01016,Banks,Equity
532478,UNITEDBREW,UNITED BREWERIES LTD.-$,Active,A ,1.00,INE686F01025,Breweries &amp; Distilleries,Equity
532480,ALLBANK,ALLAHABAD BANK,Active,A ,10.00,INE428A01015,Banks,Equity
532483,CANARABANK,CANARA BANK,Active,A ,10.00,INE476A01014,Banks,Equity
532488,DIVISLAB,DIVI'S LABORATORIES LTD.,Active,A ,2.00,INE361B01024,Pharmaceuticals,Equity
532498,SHRMCITY,SHRIRAM CITY UNION FINANCE LTD.,Active,A ,10.00,INE722A01011,Finance (including NBFCs),Equity
532500,MARUTI,MARUTI SUZUKI INDIA LTD.,Active,A ,5.00,INE585B01010,Cars &amp; Utility Vehicles,Equity
532505,UCO,UCO BANK,Active,A ,10.00,INE691A01018,Banks,Equity
532514,IGL,INDRAPRASTHA GAS LTD.,Active,A ,10.00,INE203G01019,Utilities:Non-Elec.,Equity
532522,PETRONET,PETRONET LNG LTD.,Active,A ,10.00,INE347G01014,Oil Marketing &amp; Distribution,Equity
532523,BIOCON,BIOCON LTD.,Active,A ,5.00,INE376G01013,Biotechnology,Equity
532531,STRIDES,STRIDES ARCOLAB LTD.,Active,A ,10.00,INE939A01011,Pharmaceuticals,Equity
532532,JAIPRA,JAIPRAKASH ASSOCIATES LTD.,Active,A ,2.00,INE455F01025,Construction &amp; Engineering,Equity
532538,ULTRATECH,ULTRATECH CEMENT LTD.,Active,A ,10.00,INE481G01011,Cement &amp; Cement Products,Equity
532540,TCS,TATA CONSULTANCY SERVICES LTD.,Active,A ,1.00,INE467B01029,IT Consulting &amp; Software,Equity
532627,JPPOWER,Jaiprakash Power Ventures Limited,Active,A ,10.00,INE351F01018,Electric Utilities,Equity
532648,YESBANK,YES BANK LTD.,Active,A ,10.00,INE528G01019,Banks,Equity
532652,KARNATBNK,KARNATAKA BANK LTD.,Active,A ,10.00,INE614B01018,Banks,Equity
532654,MCLEOD,MCLEOD RUSSEL INDIA LTD.,Active,A ,5.00,INE942G01012,Tea &amp; Coffee,Equity
532659,IDFC,IDFC LIMITED,Active,A ,10.00,INE043D01016,Finance (including NBFCs),Equity
532667,SUZLON,SUZLON ENERGY LTD.,Active,A ,2.00,INE040H01021,Heavy Electrical Equipment,Equity
532702,GSPL,GUJARAT STATE PETRONET LTD.,Active,A ,10.00,INE246F01010,Utilities:Non-Elec.,Equity
532754,GMRINFRA,GMR INFRASTRUCTURE LTD.,Active,A ,1.00,INE776C01039,Electric Utilities,Equity
532755,TECHM,TECH MAHINDRA LTD.,Active,A ,10.00,INE669C01028,IT Consulting &amp; Software,Equity
532779,TORNTPOWR,TORRENT POWER LTD.,Active,A ,10.00,INE813H01021,Electric Utilities,Equity
532784,SOBHA,SOBHA DEVELOPERS LTD.,Active,A ,10.00,INE671H01015,Realty,Equity
532792,CAIRN,CAIRN INDIA LTD.,Active,A ,10.00,INE910H01017,Exploration &amp; Production,Equity
532800,TV18BRDCST,TV18 BROADCAST LTD.,Active,A ,2.00,INE886H01027,Broadcasting &amp; Cable TV,Equity
532810,PFC,POWER FINANCE CORPORATION LTD.,Active,A ,10.00,INE134E01011,Finance (including NBFCs),Equity
532814,INDIANB,INDIAN BANK,Active,A ,10.00,INE562A01011,Banks,Equity
532822,IDEA,IDEA CELLULAR LTD.,Active,A ,10.00,INE669E01016,Telecom Services,Equity
532832,IBREALEST,INDIABULLS REAL ESTATE LTD.,Active,A ,2.00,INE069I01010,Realty,Equity
532839,DISHTV,DISH TV INDIA LTD.,Active,A ,1.00,INE836F01026,Broadcasting &amp; Cable TV,Equity
532868,DLF,DLF LTD.,Active,A ,2.00,INE271C01023,Realty,Equity
532873,HDIL,HOUSING DEVELOPMENT &amp; INFRASTRUCTURE LTD.,Active,A ,10.00,INE191I01012,Realty,Equity
532885,CENTRALBK,CENTRAL BANK OF INDIA,Active,A ,10.00,INE483A01010,Banks,Equity
532898,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,Active,A ,10.00,INE752E01010,Electric Utilities,Equity
532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,A ,2.00,INE742F01042,Marine Port &amp; Services,Equity
532939,RPOWER,RELIANCE POWER LTD.,Active,A ,10.00,INE614G01033,Electric Utilities,Equity
532947,IRB,IRB INFRASTRUCTURE DEVELOPERS LTD.,Active,A ,10.00,INE821I01014,Roads &amp; Highways,Equity
532955,RECLTD,RURAL ELECTRIFICATION CORPORATION LTD.,Active,A ,10.00,INE020B01018,Finance (including NBFCs),Equity
532977,BAJAJAUT,BAJAJ AUTO LTD.,Active,A ,10.00,INE917I01010,2/3 Wheelers,Equity
532978,BAJAJFINS,BAJAJ FINSERV LTD.,Active,A ,5.00,INE918I01018,Finance (including NBFCs),Equity
533096,ADANIPOWER,ADANI POWER LTD.,Active,A ,10.00,INE814H01011,Electric Utilities,Equity
533098,NHPC,NHPC LTD.,Active,A ,10.00,INE848E01016,Electric Utilities,Equity
533106,OIL,OIL INDIA LTD.,Active,A ,10.00,INE274J01014,Exploration &amp; Production,Equity
533107,PIPAVAVDOC,PIPAVAV DEFENCE AND OFFSHORE ENG LTD.,Active,A ,10.00,INE542F01012,Defence,Equity
533148,JSWENERGY,JSW Energy Ltd,Active,A ,10.00,INE121E01018,Electric Utilities,Equity
533155,JUBLFOOD,Jubilant FoodWorks Ltd,Active,A ,10.00,INE797F01012,Restaurants,Equity
533207,JPINFRATEC,Jaypee Infratech Ltd,Active,A ,10.00,INE099J01015,Roads &amp; Highways,Equity
533273,OBEROIRLTY,OBEROI REALTY LTD.,Active,A ,10.00,INE093I01010,Realty,Equity
533274,PRESTIGE,PRESTIGE ESTATES PROJECTS LTD.,Active,A ,10.00,INE811K01011,Realty,Equity
533278,COALINDIA,COAL INDIA LTD.,Active,A ,10.00,INE522F01014,Coal,Equity
533398,MUTHOOTFIN,MUTHOOT FINANCE LTD.,Active,A ,10.00,INE414G01012,Finance (including NBFCs),Equity
533519,LNTFH,L&amp;T FINANCE HOLDINGS LTD.,Active,A ,10.00,INE498L01015,Finance (including NBFCs),Equity
534091,MCX,MULTI COMMODITY EXCHANGE OF INDIA LTD.,Active,A ,10.00,INE745G01035,Other Financial Services,Equity
534816,INFRATEL,BHARTI INFRATEL LTD.,Active,A ,10.00,INE121J01017,Other Telecom Services,Equity
532712,RCOM,RELIANCE COMMUNICATIONS LTD.,Active,A ,5.00,INE330H01018,Telecom Services,Equity
532715,GITANJALI,GITANJALI GEMS LTD.,Active,A ,10.00,INE346H01014,Other Apparels &amp; Accessories,Equity
532720,MMFIN,MAHINDRA &amp; MAHINDRA FINANCIAL SERVICES LTD.,Active,A ,2.00,INE774D01024,Finance (including NBFCs),Equity
532733,SUNTV,SUN TV NETWORK LTD.,Active,A ,5.00,INE424H01027,Broadcasting &amp; Cable TV,Equity
532555,NTPC,NTPC LTD.,Active,A ,10.00,INE733E01010,Electric Utilities,Equity
532617,JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,Active,A ,10.00,INE802G01018,Airlines,Equity
532619,UTVSOF,UTV SOFTWARE COMMUNICATIONS LTD.,Delisted,A ,10.00,INE507B01022,Movies &amp; Entertainment,Equity
532743,RPL,RELIANCE PETROLEUM LTD.,Delisted,A ,10.00,INE475H01011,,Equity
532863,SPICETELE,SPICE COMMUNICATIONS LTD.,Delisted,A ,10.00,INE684H01018,,Equity
532544,IBULLS,INDIABULLS FINANCIAL SERVICES LTD.,Delisted,A ,2.00,INE894F01025,Other Financial Services,Equity
532273,CBOP,CENTURION BANK OF PUNJAB LTD.,Delisted,A ,1.00,INE484A01026,,Equity
526991,ATLASCOPCO,ATLAS COPCO (INDIA) LTD.-$,Delisted,A ,10.00,INE445A01019,Industrial Machinery,Equity
500376,SATYAM,SATYAM COMPUTER SERVICES LTD.,Suspended,A ,2.00,INE275A01028,IT Consulting &amp; Software,Equity
532709,RNRL,RELIANCE NATURAL RESOURCES LTD.,Suspended,A ,5.00,INE328H01012,,Equity
